dispute_id,transaction_id,dispute_date,txn_amount_inr,reason_code,card_network,issuing_bank,merchant_category,three_ds_status,courier_status,carrier,signed_pod,ip_geo_match,device_fingerprint_match,billing_shipping_match,customer_past_dispute_count,prior_undisputed_txns,txn_age_days,days_to_deadline,dispute_outcome
dsp_00001,pay_80b0c82d284e,2025-01-15 02:00:00,519.06,MC_4837_FRAUD,MASTERCARD,AXIS,FOOD_DELIVERY,Y_AUTHENTICATED,RETURNED,BLUEDART,False,False,False,True,0,3,47,12,0
dsp_00002,pay_14b429db6afa,2025-01-15 03:00:00,1957.13,VISA_13_3_DEFECTIVE,VISA,CITI_INTL,FASHION_APPAREL,A_ATTEMPTED,DELIVERED,BLUEDART,True,True,False,True,0,3,68,4,1
dsp_00003,pay_9fd4982996aa,2025-01-15 16:00:00,1184.93,MC_4837_FRAUD,MASTERCARD,SBI,DIGITAL_SAAS,A_ATTEMPTED,NOT_APPLICABLE,NONE,False,True,True,True,0,6,34,11,0
dsp_00004,pay_6a5eb4e090d9,2025-01-15 23:00:00,7007.71,VISA_13_3_DEFECTIVE,VISA,HDFC,TRAVEL_HOTEL,A_ATTEMPTED,DELIVERED,BLUEDART,True,True,False,False,1,3,30,3,1
dsp_00005,pay_a0a3ed44be90,2025-01-16 21:00:00,5144.66,VISA_13_1_NOT_RECEIVED,VISA,KOTAK,ECOMM_RETAIL,U_UNAVAILABLE,DELIVERED,FEDEX_INTL,False,True,False,True,0,1,51,12,0
dsp_00006,pay_4c2472089d1c,2025-01-16 11:00:00,639.7,MC_4837_FRAUD,MASTERCARD,AXIS,FOOD_DELIVERY,N_NOT_ENROLLED,DELIVERED,DTDC,True,True,True,True,2,1,5,9,1
dsp_00007,pay_6fad0c6fef46,2025-01-16 23:00:00,464.08,MC_4853_GOODS_SERVICES,MASTERCARD,CITI_INTL,ECOMM_RETAIL,U_UNAVAILABLE,DELIVERED,FEDEX_INTL,True,True,False,True,0,6,38,10,0
dsp_00008,pay_7a03499332cb,2025-01-17 09:00:00,1143.57,MC_4837_FRAUD,MASTERCARD,CITI_INTL,TRAVEL_HOTEL,A_ATTEMPTED,RETURNED,DELHIVERY,False,True,True,True,0,3,41,8,0
dsp_00009,pay_522fac7a4689,2025-01-17 14:00:00,318.45,VISA_13_1_NOT_RECEIVED,VISA,SBI,ECOMM_RETAIL,A_ATTEMPTED,UNKNOWN,BLUEDART,False,True,True,True,5,4,25,14,0
dsp_00010,pay_bfdd83da8e95,2025-01-17 18:00:00,578.23,VISA_13_3_DEFECTIVE,VISA,AMEX_INTL,ECOMM_RETAIL,A_ATTEMPTED,RETURNED,BLUEDART,False,True,True,True,1,0,77,8,0
dsp_00011,pay_03b48e725fe5,2025-01-18 07:00:00,12358.94,MC_4837_FRAUD,MASTERCARD,HDFC,FASHION_APPAREL,N_NOT_ENROLLED,DELIVERED,DTDC,True,True,True,True,0,3,61,3,1
dsp_00012,pay_4b9ac3388bbc,2025-01-18 02:00:00,1132.55,VISA_13_3_DEFECTIVE,VISA,SBI,FASHION_APPAREL,N_NOT_ENROLLED,DELIVERED,DELHIVERY,False,True,False,True,0,0,45,5,1
dsp_00013,pay_8ad370dacaa2,2025-01-18 13:00:00,2493.03,VISA_13_3_DEFECTIVE,VISA,AMEX_INTL,ELECTRONICS,N_NOT_ENROLLED,IN_TRANSIT,FEDEX_INTL,False,True,False,True,0,0,50,13,0
